label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
0,0.0,0.0,0.0,-0.27416953444480896,-0.021213211119174957,-0.08984430879354477,-0.5377317667007446,-0.2786310613155365,-0.12175919860601425,-0.5028790831565857,-0.5963783860206604,-0.15734831988811493,-0.2624334990978241,-0.6546053886413574,-0.1711144745349884,-0.4263511896133423,-0.6490176916122437,-0.014308753423392773,-0.4762028157711029,-0.8793354630470276,-0.16175466775894165,-0.416098028421402,-0.6018184423446655,-0.2330792248249054,-0.3907778263092041,-0.4959217607975006,-0.2630596458911896,-0.2580483555793762,-0.7212555408477783,-0.025158992037177086,-0.31191760301589966,-0.9380075335502625,-0.17232024669647217,-0.24942761659622192,-0.5977044701576233,-0.18272028863430023,-0.23412562906742096,-0.5245605111122131,-0.14870019257068634,-0.08836786448955536,-0.7596206665039062,-0.06627656519412994,-0.13059578835964203,-0.968408465385437,-0.20845262706279755,-0.08520187437534332,-0.6317830681800842,-0.15609750151634216,-0.07043959200382233,-0.5309573411941528,-0.0761655792593956,0.0947304293513298,-0.7647966146469116,-0.11880084872245789,0.04746752604842186,-0.9619158506393433,-0.1889118254184723,0.05997898429632187,-0.7319105267524719,-0.14087438583374023,0.07243414968252182,-0.6256062984466553,-0.08160104602575302
0,0.0,0.0,0.0,-0.2752658426761627,-0.0249080341309309,-0.09378553181886673,-0.5338107943534851,-0.2875613570213318,-0.13355210423469543,-0.4926341772079468,-0.6027168035507202,-0.17620399594306946,-0.26628583669662476,-0.6494940519332886,-0.19815367460250854,-0.4171188473701477,-0.6708168983459473,-0.025179553776979446,-0.46764862537384033,-0.8839144706726074,-0.1621720939874649,-0.4120732843875885,-0.60428786277771,-0.22384196519851685,-0.37954697012901306,-0.5076863765716553,-0.2495487630367279,-0.2519907057285309,-0.7424495816230774,-0.033880580216646194,-0.30369243025779724,-0.9440552592277527,-0.1711977869272232,-0.2511606216430664,-0.6068814992904663,-0.17003551125526428,-0.2229754775762558,-0.5302842855453491,-0.13094434142112732,-0.08678299933671951,-0.7726743221282959,-0.07194197177886963,-0.12369125336408615,-0.954147458076477,-0.20759835839271545,-0.09217128902673721,-0.6223384737968445,-0.14822202920913696,-0.06800159066915512,-0.5210790038108826,-0.06589706242084503,0.0928538516163826,-0.7682286500930786,-0.12168591469526291,0.04310901090502739,-0.961088240146637,-0.1865786612033844,0.04884667322039604,-0.7368521690368652,-0.13327793776988983,0.06885678321123123,-0.6329081058502197,-0.07228433340787888
0,0.0,0.0,0.0,-0.26693323254585266,-0.02293287217617035,-0.09467282146215439,-0.5211928486824036,-0.2892615497112274,-0.13734254240989685,-0.47951459884643555,-0.6056293845176697,-0.18176953494548798,-0.2505238652229309,-0.6502344012260437,-0.2063506841659546,-0.4032351076602936,-0.6865576505661011,-0.036902882158756256,-0.4514027237892151,-0.8917931318283081,-0.17102152109146118,-0.40018230676651,-0.6151622533798218,-0.23009449243545532,-0.36335983872413635,-0.5210824012756348,-0.2555895149707794,-0.23710012435913086,-0.7553027272224426,-0.04635047912597656,-0.2877799868583679,-0.9576965570449829,-0.18263746798038483,-0.239572674036026,-0.6229029297828674,-0.17906033992767334,-0.20694473385810852,-0.545492947101593,-0.13905440270900726,-0.0706164687871933,-0.7779817581176758,-0.08391483873128891,-0.1019885241985321,-0.9604001045227051,-0.22017508745193481,-0.07626252621412277,-0.6282601356506348,-0.15964704751968384,-0.05310108885169029,-0.5269761681556702,-0.07744316011667252,0.1092652678489685,-0.7623526453971863,-0.13295577466487885,0.06301939487457275,-0.9596884846687317,-0.20199398696422577,0.06132865324616432,-0.7318205833435059,-0.1499766856431961,0.07692933082580566,-0.6227486729621887,-0.09003187716007233
0,0.0,0.0,0.0,-0.2646677494049072,-0.020831985399127007,-0.09960455447435379,-0.5191234946250916,-0.28738167881965637,-0.14297504723072052,-0.47882962226867676,-0.6103309988975525,-0.18764914572238922,-0.2546248435974121,-0.6625233888626099,-0.21130409836769104,-0.40594714879989624,-0.684116542339325,-0.026820240542292595,-0.455002099275589,-0.8794847726821899,-0.1670638769865036,-0.3909715414047241,-0.6066395044326782,-0.23389331996440887,-0.35050883889198303,-0.5188602209091187,-0.2640454173088074,-0.23622556030750275,-0.7586252689361572,-0.035777345299720764,-0.28628504276275635,-0.9581445455551147,-0.17893542349338531,-0.23026975989341736,-0.6216630935668945,-0.1811119168996811,-0.20477624237537384,-0.5430198311805725,-0.14272534847259521,-0.06790462881326675,-0.7844040393829346,-0.07486622780561447,-0.09996845573186874,-0.9628908634185791,-0.2175276130437851,-0.0727272778749466,-0.6314605474472046,-0.15872478485107422,-0.05928713455796242,-0.5319993495941162,-0.07542853057384491,0.11297863721847534,-0.7725573182106018,-0.12589119374752045,0.06649056077003479,-0.9572827816009521,-0.19788046181201935,0.06688236445188522,-0.7281837463378906,-0.14551469683647156,0.07588755339384079,-0.625324547290802,-0.08415862172842026
0,0.0,0.0,0.0,-0.2701096832752228,-0.02103213034570217,-0.09548740833997726,-0.5357188582420349,-0.28621208667755127,-0.1369839608669281,-0.5098297595977783,-0.6137486100196838,-0.180814728140831,-0.28506702184677124,-0.6630435585975647,-0.2039741575717926,-0.40151289105415344,-0.6809711456298828,-0.02486581727862358,-0.4580954909324646,-0.8889029622077942,-0.16090434789657593,-0.40050026774406433,-0.6114099025726318,-0.22162555158138275,-0.3617457151412964,-0.5230384469032288,-0.24765866994857788,-0.23376332223415375,-0.7569519877433777,-0.033922843635082245,-0.2876713275909424,-0.9535724520683289,-0.17207470536231995,-0.23713907599449158,-0.6181663274765015,-0.1694662868976593,-0.21115413308143616,-0.5462949275970459,-0.12896758317947388,-0.0672188252210617,-0.7850674986839294,-0.07258167862892151,-0.10544513911008835,-0.9609399437904358,-0.21173427999019623,-0.07961016893386841,-0.62986820936203,-0.15103068947792053,-0.06300189346075058,-0.5349018573760986,-0.06736015528440475,0.11261097341775894,-0.775104820728302,-0.12277460098266602,0.05803239345550537,-0.9610353112220764,-0.1918162703514099,0.058833807706832886,-0.7347986102104187,-0.1386464685201645,0.0729592964053154,-0.6331536173820496,-0.07718285173177719
0,0.0,0.0,0.0,-0.266523152589798,-0.030057393014431,-0.09052397310733795,-0.5245259404182434,-0.28196093440055847,-0.1310003697872162,-0.49161145091056824,-0.5984933376312256,-0.17572955787181854,-0.2718023955821991,-0.6945785880088806,-0.20050664246082306,-0.40525829792022705,-0.6758753657341003,-0.020595334470272064,-0.46211591362953186,-0.8862911462783813,-0.16424560546875,-0.39812418818473816,-0.6141563653945923,-0.23199237883090973,-0.3556011915206909,-0.5110456943511963,-0.25918224453926086,-0.23529547452926636,-0.7503780126571655,-0.03199600428342819,-0.2864227592945099,-0.9581032991409302,-0.1750926375389099,-0.2307141274213791,-0.620206892490387,-0.17863473296165466,-0.20775486528873444,-0.5304031372070312,-0.1407928466796875,-0.06574839353561401,-0.7824966907501221,-0.07283061742782593,-0.10015426576137543,-0.9633331298828125,-0.21793264150619507,-0.06948228180408478,-0.6268730163574219,-0.1599498838186264,-0.055368322879076004,-0.513471782207489,-0.07560725510120392,0.11656592041254044,-0.7767878770828247,-0.1239876002073288,0.0658201053738594,-0.9669080972671509,-0.19766229391098022,0.07030214369297028,-0.7371412515640259,-0.14407192170619965,0.08050626516342163,-0.6271611452102661,-0.0801055058836937
0,0.0,0.0,0.0,-0.26331958174705505,-0.01965182274580002,-0.09684018790721893,-0.5245679020881653,-0.27660664916038513,-0.1400986760854721,-0.49568066000938416,-0.6030992269515991,-0.18554820120334625,-0.2697235345840454,-0.6770860552787781,-0.20880770683288574,-0.41314858198165894,-0.6750251054763794,-0.024839306250214577,-0.4758361279964447,-0.8795340061187744,-0.1684940755367279,-0.4031015932559967,-0.5950348377227783,-0.2332049161195755,-0.35847437381744385,-0.5103991627693176,-0.2606394290924072,-0.24218982458114624,-0.7573860883712769,-0.03493334352970123,-0.3005176782608032,-0.9537136554718018,-0.17754727602005005,-0.23592717945575714,-0.6079742312431335,-0.17423149943351746,-0.20866252481937408,-0.5463590621948242,-0.13221143186092377,-0.07053354382514954,-0.7894929051399231,-0.07584431022405624,-0.11274299025535583,-0.9568996429443359,-0.2191973179578781,-0.0774509385228157,-0.6186274886131287,-0.1549578607082367,-0.058862991631031036,-0.5370275974273682,-0.06799725443124771,0.11517283320426941,-0.784849226474762,-0.1283867359161377,0.05605312064290047,-0.9596498012542725,-0.19880411028862,0.06258531659841537,-0.7282687425613403,-0.14277969300746918,0.07937499135732651,-0.6393204927444458,-0.07859603315591812
0,0.0,0.0,0.0,-0.2639344334602356,-0.0174737386405468,-0.08897879719734192,-0.5261310935020447,-0.28331759572029114,-0.12497946619987488,-0.4959598183631897,-0.6070643663406372,-0.16419872641563416,-0.2803465723991394,-0.6778386235237122,-0.18192851543426514,-0.4199308156967163,-0.6694290637969971,-0.01930788718163967,-0.48737260699272156,-0.8698711395263672,-0.16039469838142395,-0.41111546754837036,-0.5911768674850464,-0.22693756222724915,-0.36730441451072693,-0.5088436007499695,-0.25648313760757446,-0.25140342116355896,-0.7489936351776123,-0.03097674250602722,-0.3134114742279053,-0.9496174454689026,-0.17220547795295715,-0.24426764249801636,-0.6043018102645874,-0.17135383188724518,-0.21910840272903442,-0.530056357383728,-0.13133129477500916,-0.08345930278301239,-0.7822201251983643,-0.07202117890119553,-0.1296081691980362,-0.9656960964202881,-0.21466398239135742,-0.08802095055580139,-0.6198331713676453,-0.15165801346302032,-0.06804046779870987,-0.5132868885993958,-0.06532686948776245,0.099751316010952,-0.7810382843017578,-0.12386688590049744,0.04156963899731636,-0.9590138792991638,-0.1979760229587555,0.04756224527955055,-0.7226731777191162,-0.14527730643749237,0.05862497538328171,-0.618902862071991,-0.08275245875120163
0,0.0,0.0,0.0,-0.26276886463165283,-0.018427714705467224,-0.08557356894016266,-0.52816241979599,-0.2647797465324402,-0.12329200655221939,-0.5115064382553101,-0.585732102394104,-0.16581152379512787,-0.2953980565071106,-0.6593464612960815,-0.18875433504581451,-0.4232790172100067,-0.6608397364616394,-0.013558885082602501,-0.49540776014328003,-0.8666552305221558,-0.14937357604503632,-0.4189521372318268,-0.5952823758125305,-0.21487624943256378,-0.3677213788032532,-0.4994758367538452,-0.24337823688983917,-0.2576407492160797,-0.7440872192382812,-0.026613149791955948,-0.3286145329475403,-0.9444641470909119,-0.16416288912296295,-0.2549039125442505,-0.6084172129631042,-0.165054589509964,-0.21464616060256958,-0.5173311233520508,-0.12607690691947937,-0.09152180701494217,-0.7807459831237793,-0.06838468462228775,-0.1485343873500824,-0.9626474380493164,-0.20774365961551666,-0.10105257481336594,-0.6247575283050537,-0.1478680968284607,-0.07071279734373093,-0.5027560591697693,-0.06336002796888351,0.09008260071277618,-0.7791146636009216,-0.12075785547494888,0.024127265438437462,-0.9631698131561279,-0.1950673758983612,0.031958576291799545,-0.7293374538421631,-0.14434266090393066,0.04943542927503586,-0.609836220741272,-0.08289865404367447
0,0.0,0.0,0.0,-0.26416367292404175,-0.008936218917369843,-0.0889897271990776,-0.5282235145568848,-0.2485899031162262,-0.1288539171218872,-0.5166168212890625,-0.5750409364700317,-0.17279116809368134,-0.3073383867740631,-0.6676995754241943,-0.19730323553085327,-0.4403902590274811,-0.6407346725463867,-0.016535721719264984,-0.517296552658081,-0.8364466428756714,-0.15524932742118835,-0.4314356744289398,-0.5737205743789673,-0.2213367521762848,-0.375345915555954,-0.4826119840145111,-0.24827659130096436,-0.2776557207107544,-0.730171263217926,-0.02803986892104149,-0.35407525300979614,-0.9352169036865234,-0.16883626580238342,-0.2715762257575989,-0.6030489802360535,-0.16898871958255768,-0.2277049720287323,-0.505669116973877,-0.126845583319664,-0.11269990354776382,-0.7726888060569763,-0.06835835427045822,-0.1736208200454712,-0.9483664631843567,-0.21426856517791748,-0.11769113689661026,-0.6083152890205383,-0.1550786793231964,-0.08240782469511032,-0.4764523208141327,-0.06722266972064972,0.06951917707920074,-0.7776747345924377,-0.11879837512969971,-0.005147728603333235,-0.9606358408927917,-0.19715259969234467,0.010991518385708332,-0.7283245325088501,-0.14581701159477234,0.0353805236518383,-0.6048476696014404,-0.08137815445661545
